Period,Location,Time,Temperature,Reading (Oxygen),Reading (Hydrogen Cyanide),TWA (Hydrogen Cyanide),STEL (Hydrogen Cyanide),Reading (Nitrogen Dioxide),TWA (Nitrogen Dioxide),STEL (Nitrogen Dioxide),Reading (Hydrogen Sulfide),TWA (Hydrogen Sulfide),STEL (Hydrogen Sulfide),Reading (Carbon Monoxide),TWA (Carbon Monoxide),STEL (Carbon Monoxide),Reading (Carbon Dioxide),TWA (Carbon Dioxide),STEL (Carbon Dioxide)
1,,6/27/2015 8:28:41 AM,14,20.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0
1,,6/27/2015 8:28:46 AM,14,20.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0
1,,6/27/2015 8:28:51 AM,14,20.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.05,8.680556E-06,0.0002777778
1,,6/27/2015 8:28:56 AM,14,20.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.03,1.388889E-05,0.0004444444
1,,6/27/2015 8:29:01 AM,14,20.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.01,1.5625E-05,0.0005
1,,6/27/2015 8:29:06 AM,14,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.02,1.5625E-05,0.0005
1,,6/27/2015 8:29:11 AM,14,20.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.03,1.5625E-05,0.0005
1,,6/27/2015 8:29:16 AM,14,20.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.03,1.5625E-05,0.0005
1,,6/27/2015 8:29:21 AM,14,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.03,1.5625E-05,0.0005
1,,6/27/2015 8:29:26 AM,14,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.03,1.5625E-05,0.0005
1,,6/27/2015 8:29:31 AM,14,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.02,1.5625E-05,0.0005
1,,6/27/2015 8:29:36 AM,14,20.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.5625E-05,0.0005
1,,6/27/2015 8:29:41 AM,14,20.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.5625E-05,0.0005
1,,6/27/2015 8:29:46 AM,14,20.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.5625E-05,0.0005
1,,6/27/2015 8:29:51 AM,14,20.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.5625E-05,0.0005
1,,6/27/2015 8:29:56 AM,14,20.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.02,1.5625E-05,0.0005
1,,6/27/2015 8:30:01 AM,14,20.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.01,1.5625E-05,0.0005
