Period,Location,Time,Temperature,Reading (Oxygen),Reading (Hydrogen Cyanide),TWA (Hydrogen Cyanide),STEL (Hydrogen Cyanide),Reading (Nitrogen Dioxide),TWA (Nitrogen Dioxide),STEL (Nitrogen Dioxide),Reading (Hydrogen Sulfide),TWA (Hydrogen Sulfide),STEL (Hydrogen Sulfide),Reading (Carbon Monoxide),TWA (Carbon Monoxide),STEL (Carbon Monoxide),Reading (Carbon Dioxide),TWA (Carbon Dioxide),STEL (Carbon Dioxide)
1,,6/23/2015 8:27:28 AM,18,20.9,-0.1,0,0,0,0,0,0,0,0,5,0.0008680556,0.02777778,0.05,8.680556E-06,0.0002777778
1,,6/23/2015 8:27:33 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,4,0.0015625,0.05,0.05,1.736111E-05,0.0005555556
1,,6/23/2015 8:27:38 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,4,0.002256945,0.07222223,0.01,1.909722E-05,0.0006111111
1,,6/23/2015 8:27:43 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002256945,0.07222223,-0.02,1.909722E-05,0.0006111111
1,,6/23/2015 8:27:48 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002256945,0.07222223,-0.03,1.909722E-05,0.0006111111
1,,6/23/2015 8:27:53 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,1,0.002430556,0.07777778,-0.03,1.909722E-05,0.0006111111
1,,6/23/2015 8:27:58 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,2,0.002777778,0.08888889,-0.02,1.909722E-05,0.0006111111
1,,6/23/2015 8:28:03 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0.02,2.256944E-05,0.0007222222
1,,6/23/2015 8:28:08 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0.02,2.604167E-05,0.0008333334
1,,6/23/2015 8:28:13 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,2.604167E-05,0.0008333334
1,,6/23/2015 8:28:18 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,2.604167E-05,0.0008333334
1,,6/23/2015 8:28:23 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,2.604167E-05,0.0008333334
1,,6/23/2015 8:28:28 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,-0.02,2.604167E-05,0.0008333334
1,,6/23/2015 8:28:33 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,2.604167E-05,0.0008333334
1,,6/23/2015 8:28:38 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,2.604167E-05,0.0008333334
1,,6/23/2015 8:28:43 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,2.604167E-05,0.0008333334
1,,6/23/2015 8:28:48 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,2.604167E-05,0.0008333334
1,,6/23/2015 8:28:53 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,2.604167E-05,0.0008333334
1,,6/23/2015 8:28:58 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,2.604167E-05,0.0008333334
1,,6/23/2015 8:29:03 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,2.604167E-05,0.0008333334
1,,6/23/2015 8:29:08 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,2.604167E-05,0.0008333334
1,,6/23/2015 8:29:13 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,2.604167E-05,0.0008333334
1,,6/23/2015 8:29:18 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,2.604167E-05,0.0008333334
1,,6/23/2015 8:29:23 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,-0.01,2.604167E-05,0.0008333334
1,,6/23/2015 8:29:28 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,-0.03,2.604167E-05,0.0008333334
1,,6/23/2015 8:29:33 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,-0.03,2.604167E-05,0.0008333334
1,,6/23/2015 8:29:38 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0.01,2.777778E-05,0.0008888889
1,,6/23/2015 8:29:43 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0.03,3.298611E-05,0.001055556
1,,6/23/2015 8:29:48 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0.04,3.993055E-05,0.001277778
1,,6/23/2015 8:29:53 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0.05,4.861111E-05,0.001555556
1,,6/23/2015 8:29:58 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0.03,5.381944E-05,0.001722222
1,,6/23/2015 8:30:03 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0.03,5.902778E-05,0.001888889
1,,6/23/2015 8:30:08 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0.03,6.423611E-05,0.002055556
1,,6/23/2015 8:30:13 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0.02,6.770833E-05,0.002166667
1,,6/23/2015 8:30:18 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:30:23 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:30:28 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:30:33 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:30:38 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:30:43 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:30:48 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:30:53 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:30:58 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:31:03 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:31:08 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:31:13 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:31:18 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:31:23 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:31:28 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:31:33 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:31:38 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:31:43 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:31:48 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:31:53 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:31:58 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:32:03 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,-0.02,6.770833E-05,0.002166667
1,,6/23/2015 8:32:08 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,-0.03,6.770833E-05,0.002166667
1,,6/23/2015 8:32:13 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,-0.01,6.770833E-05,0.002166667
1,,6/23/2015 8:32:18 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,0,6.770833E-05,0.002166667
1,,6/23/2015 8:32:23 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,-0.02,6.770833E-05,0.002166667
1,,6/23/2015 8:32:28 AM,19,20.9,-0.1,0,0,0,0,0,0,0,0,0,0.002777778,0.08888889,-0.03,6.770833E-05,0.002166667
