File ID,1,,
Transmitter Address,3,,
Thermocouple Type,K,,
Start Time,"Thursday, June 25, 2015 8:13:09 AM",,
Interval (seconds),2,,
Number of Records,1328,,
Units (degrees),C,,
Battery Voltage,1.67,,
,,,
Date,Time,Process,Ambient
6/25/2015,8:13:09 AM,21,21
6/25/2015,8:13:11 AM,21,21
6/25/2015,8:13:13 AM,21,21
6/25/2015,8:13:15 AM,21,21
6/25/2015,8:13:17 AM,21,21
6/25/2015,8:13:19 AM,22,21
6/25/2015,8:13:21 AM,22,21.1
6/25/2015,8:13:23 AM,23,21.1
6/25/2015,8:13:25 AM,23,21.1
6/25/2015,8:13:27 AM,22,21.1
6/25/2015,8:13:29 AM,22,21.1
6/25/2015,8:13:31 AM,22,21.1
6/25/2015,8:13:33 AM,22,21.1
6/25/2015,8:13:35 AM,22,21.1
6/25/2015,8:13:37 AM,22,21.1
6/25/2015,8:13:39 AM,22,21.1
6/25/2015,8:13:41 AM,22,21.1
6/25/2015,8:13:43 AM,22,21.1
6/25/2015,8:13:45 AM,22,21.1
6/25/2015,8:13:47 AM,22,21.1
6/25/2015,8:13:49 AM,22,21.1
6/25/2015,8:13:51 AM,22,21.1
6/25/2015,8:13:53 AM,22,21.1
6/25/2015,8:13:55 AM,22,21.1
6/25/2015,8:13:57 AM,22,21.1
6/25/2015,8:13:59 AM,22,21.1
6/25/2015,8:14:01 AM,22,21.1
6/25/2015,8:14:03 AM,22,21.1
6/25/2015,8:14:05 AM,22,21.1
6/25/2015,8:14:07 AM,22,21.1
6/25/2015,8:14:09 AM,22,21.1
6/25/2015,8:14:11 AM,22,21.1
6/25/2015,8:14:13 AM,22,21.1
6/25/2015,8:14:15 AM,22,21.1
6/25/2015,8:14:17 AM,22,21.1
6/25/2015,8:14:19 AM,22,21.1
6/25/2015,8:14:21 AM,22,21.1
6/25/2015,8:14:23 AM,22,21.1
6/25/2015,8:14:25 AM,22,21.1
6/25/2015,8:14:27 AM,22,21.1
6/25/2015,8:14:29 AM,22,21.1
6/25/2015,8:14:31 AM,22,21.2
6/25/2015,8:14:33 AM,22,21.2
6/25/2015,8:14:35 AM,22,21.1
6/25/2015,8:14:37 AM,22,21.2
6/25/2015,8:14:39 AM,22,21.2
6/25/2015,8:14:41 AM,22,21.2
6/25/2015,8:14:43 AM,22,21.2
6/25/2015,8:14:45 AM,22,21.2
6/25/2015,8:14:47 AM,22,21.2
6/25/2015,8:14:49 AM,22,21.2
6/25/2015,8:14:51 AM,22,21.2
6/25/2015,8:14:53 AM,22,21.2
6/25/2015,8:14:55 AM,22,21.2
6/25/2015,8:14:57 AM,21,21.2
6/25/2015,8:14:59 AM,22,21.2
6/25/2015,8:15:01 AM,21,21.2
6/25/2015,8:15:03 AM,22,21.2
6/25/2015,8:15:05 AM,22,21.2
6/25/2015,8:15:07 AM,22,21.2
6/25/2015,8:15:09 AM,22,21.2
6/25/2015,8:15:11 AM,22,21.2
6/25/2015,8:15:13 AM,22,21.2
6/25/2015,8:15:15 AM,22,21.2
6/25/2015,8:15:17 AM,22,21.2
6/25/2015,8:15:19 AM,22,21.2
6/25/2015,8:15:21 AM,22,21.2
6/25/2015,8:15:23 AM,22,21.2
6/25/2015,8:15:25 AM,22,21.2
6/25/2015,8:15:27 AM,21,21.2
6/25/2015,8:15:29 AM,21,21.2
6/25/2015,8:15:31 AM,21,21.2
6/25/2015,8:15:33 AM,21,21.2
6/25/2015,8:15:35 AM,21,21.2
6/25/2015,8:15:37 AM,21,21.2
6/25/2015,8:15:39 AM,22,21.2
6/25/2015,8:15:41 AM,21,21.2
6/25/2015,8:15:43 AM,21,21.2
6/25/2015,8:15:45 AM,21,21.2
6/25/2015,8:15:47 AM,21,21.2
6/25/2015,8:15:49 AM,21,21.2
6/25/2015,8:15:51 AM,21,21.2
6/25/2015,8:15:53 AM,21,21.2
6/25/2015,8:15:55 AM,21,21.2
6/25/2015,8:15:57 AM,21,21.2
6/25/2015,8:15:59 AM,21,21.2
6/25/2015,8:16:01 AM,21,21.2
6/25/2015,8:16:03 AM,21,21.2
6/25/2015,8:16:05 AM,21,21.2
6/25/2015,8:16:07 AM,21,21.2
6/25/2015,8:16:09 AM,21,21.2
6/25/2015,8:16:11 AM,21,21.2
6/25/2015,8:16:13 AM,21,21.2
6/25/2015,8:16:15 AM,21,21.2
6/25/2015,8:16:17 AM,21,21.2
6/25/2015,8:16:19 AM,21,21.2
6/25/2015,8:16:21 AM,21,21.2
6/25/2015,8:16:23 AM,21,21.2
6/25/2015,8:16:25 AM,21,21.2
6/25/2015,8:16:27 AM,21,21.2
6/25/2015,8:16:29 AM,21,21.2
6/25/2015,8:16:31 AM,21,21.2
6/25/2015,8:16:33 AM,21,21.2
6/25/2015,8:16:35 AM,21,21.2
6/25/2015,8:16:37 AM,21,21.2
6/25/2015,8:16:39 AM,21,21.2
6/25/2015,8:16:41 AM,21,21.2
6/25/2015,8:16:43 AM,21,21.2
6/25/2015,8:16:45 AM,21,21.2
6/25/2015,8:16:47 AM,21,21.2
6/25/2015,8:16:49 AM,21,21.2
6/25/2015,8:16:51 AM,21,21.2
6/25/2015,8:16:53 AM,21,21.2
6/25/2015,8:16:55 AM,21,21.2
6/25/2015,8:16:57 AM,21,21.2
6/25/2015,8:16:59 AM,21,21.2
6/25/2015,8:17:01 AM,21,21.2
6/25/2015,8:17:03 AM,21,21.2
6/25/2015,8:17:05 AM,21,21.2
6/25/2015,8:17:07 AM,21,21.2
6/25/2015,8:17:09 AM,21,21.2
6/25/2015,8:17:11 AM,21,21.2
6/25/2015,8:17:13 AM,21,21.2
6/25/2015,8:17:15 AM,21,21.2
6/25/2015,8:17:17 AM,21,21.2
6/25/2015,8:17:19 AM,21,21.2
6/25/2015,8:17:21 AM,21,21.2
6/25/2015,8:17:23 AM,21,21.2
6/25/2015,8:17:25 AM,21,21.2
6/25/2015,8:17:27 AM,21,21.2
6/25/2015,8:17:29 AM,21,21.2
6/25/2015,8:17:31 AM,21,21.2
6/25/2015,8:17:33 AM,21,21.2
6/25/2015,8:17:35 AM,21,21.2
6/25/2015,8:17:37 AM,21,21.2
6/25/2015,8:17:39 AM,21,21.2
6/25/2015,8:17:41 AM,21,21.2
6/25/2015,8:17:43 AM,21,21.2
6/25/2015,8:17:45 AM,21,21.2
6/25/2015,8:17:47 AM,21,21.2
6/25/2015,8:17:49 AM,21,21.2
6/25/2015,8:17:51 AM,21,21.2
6/25/2015,8:17:53 AM,21,21.2
6/25/2015,8:17:55 AM,21,21.2
6/25/2015,8:17:57 AM,21,21.2
6/25/2015,8:17:59 AM,21,21.2
6/25/2015,8:18:01 AM,21,21.2
6/25/2015,8:18:03 AM,21,21.2
6/25/2015,8:18:05 AM,21,21.2
6/25/2015,8:18:07 AM,21,21.2
6/25/2015,8:18:09 AM,21,21.2
6/25/2015,8:18:11 AM,21,21.2
6/25/2015,8:18:13 AM,21,21.2
6/25/2015,8:18:15 AM,21,21.2
6/25/2015,8:18:17 AM,21,21.2
6/25/2015,8:18:19 AM,21,21.2
6/25/2015,8:18:21 AM,21,21.2
6/25/2015,8:18:23 AM,21,21.2
6/25/2015,8:18:25 AM,21,21.2
6/25/2015,8:18:27 AM,21,21.2
6/25/2015,8:18:29 AM,21,21.2
6/25/2015,8:18:31 AM,21,21.2
6/25/2015,8:18:33 AM,21,21.2
6/25/2015,8:18:35 AM,21,21.2
6/25/2015,8:18:37 AM,21,21.2
6/25/2015,8:18:39 AM,21,21.2
6/25/2015,8:18:41 AM,21,21.2
6/25/2015,8:18:43 AM,21,21.2
6/25/2015,8:18:45 AM,21,21.2
6/25/2015,8:18:47 AM,21,21.2
6/25/2015,8:18:49 AM,21,21.2
6/25/2015,8:18:51 AM,21,21.2
6/25/2015,8:18:53 AM,21,21.2
6/25/2015,8:18:55 AM,21,21.2
6/25/2015,8:18:57 AM,21,21.2
6/25/2015,8:18:59 AM,21,21.2
6/25/2015,8:19:01 AM,21,21.2
6/25/2015,8:19:03 AM,21,21.2
6/25/2015,8:19:05 AM,21,21.2
6/25/2015,8:19:07 AM,21,21.2
6/25/2015,8:19:09 AM,21,21.2
6/25/2015,8:19:11 AM,21,21.2
6/25/2015,8:19:13 AM,21,21.2
6/25/2015,8:19:15 AM,21,21.2
6/25/2015,8:19:17 AM,21,21.2
6/25/2015,8:19:19 AM,21,21.2
6/25/2015,8:19:21 AM,21,21.2
6/25/2015,8:19:23 AM,21,21.2
6/25/2015,8:19:25 AM,21,21.2
6/25/2015,8:19:27 AM,21,21.2
6/25/2015,8:19:29 AM,21,21.2
6/25/2015,8:19:31 AM,21,21.2
6/25/2015,8:19:33 AM,21,21.2
6/25/2015,8:19:35 AM,21,21.2
6/25/2015,8:19:37 AM,21,21.2
6/25/2015,8:19:39 AM,21,21.2
6/25/2015,8:19:41 AM,21,21.2
6/25/2015,8:19:43 AM,21,21.2
6/25/2015,8:19:45 AM,21,21.2
6/25/2015,8:19:47 AM,21,21.2
6/25/2015,8:19:49 AM,21,21.2
6/25/2015,8:19:51 AM,21,21.2
6/25/2015,8:19:53 AM,21,21.2
6/25/2015,8:19:55 AM,21,21.2
6/25/2015,8:19:57 AM,21,21.2
6/25/2015,8:19:59 AM,21,21.2
6/25/2015,8:20:01 AM,21,21.2
6/25/2015,8:20:03 AM,21,21.2
6/25/2015,8:20:05 AM,21,21.2
6/25/2015,8:20:07 AM,21,21.2
6/25/2015,8:20:09 AM,21,21.2
6/25/2015,8:20:11 AM,21,21.2
6/25/2015,8:20:13 AM,21,21.2
6/25/2015,8:20:15 AM,21,21.2
6/25/2015,8:20:17 AM,21,21.2
6/25/2015,8:20:19 AM,21,21.2
6/25/2015,8:20:21 AM,21,21.2
6/25/2015,8:20:23 AM,21,21.2
6/25/2015,8:20:25 AM,21,21.2
6/25/2015,8:20:27 AM,21,21.2
6/25/2015,8:20:29 AM,21,21.2
6/25/2015,8:20:31 AM,21,21.2
6/25/2015,8:20:33 AM,21,21.2
6/25/2015,8:20:35 AM,21,21.2
